id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1127362818977146702,https://www.airbnb.com/rooms/1127362818977146702,20241230155630,2024-12-31,city scrape,#10 Haliç Manzarası - Goldenhorn,"If you stay in this centrally located place, you'll be close to everything as a family. With that you will have an amazing view.",,https://a0.muscache.com/pictures/hosting/Hosting-1127362818977146702/original/64b71fbd-78c7-455e-ae10-68550fb226f0.jpeg,174161152,https://www.airbnb.com/users/show/174161152,Ulas,2018-02-19,,,,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,t,,Beyoglu,,41.04740876878704,28.94695892930031,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Carbon monoxide alarm"", ""Fire extinguisher"", ""Free parking on premises"", ""TV"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Air conditioning""]","$3,360.00",100,365,100.0,100.0,365.0,365.0,100.0,365.0,,t,29,59,89,269,2024-12-31,0,0,0,,,,,,,,,,,f,1,1,0,0,
778240934348013332,https://www.airbnb.com/rooms/778240934348013332,20241230155630,2024-12-30,city scrape,Rahat ve renkli bir konaklama,"Enjoy your stay at this spacious and serene property. Close to the metro, grocery stores, hospital, hiking parks and Metrogarden, my apartment will provide you with a comfortable stay with amenities to meet all your needs.","Located in the grocery stores, close to Taşdelen forest Hospital and Metrogarden. Located in a quiet street. There are markets 2 times a week and pharmacies, banks and shops are within walking distance.",https://a0.muscache.com/pictures/miso/Hosting-778240934348013332/original/9668d250-faae-449e-a10b-8ece106b01a4.jpeg,22912757,https://www.airbnb.com/users/show/22912757,Burcu,2014-10-24,"İstanbul, Turkey","Hi there,I'm Burcu. 

I like music, movies, animals,traveling, learning about different cultures.",,,,f,https://a0.muscache.com/im/users/22912757/profile_pic/1433012779/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/22912757/profile_pic/1433012779/original.jpg?aki_policy=profile_x_medium,,1,7,"['email', 'phone']",t,t,"Çekmeköy, İstanbul, Turkey",Cekmekoy,,41.02848,29.2202,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,5.0,"[""Room-darkening shades"", ""Central heating"", ""Free street parking"", ""Baking sheet"", ""Hair dryer"", ""Radiant heating"", ""Blender"", ""Kitchen"", ""Lock on bedroom door"", ""Bed linens"", ""Wine glasses"", ""Refrigerator"", ""Dishes and silverware"", ""Clothing storage: closet, wardrobe, and dresser"", ""Dishwasher"", ""Long term stays allowed"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Mosquito net"", ""Washer"", ""Free parking on premises"", ""82 inch HDTV with Netflix"", ""Host greets you"", ""Coffee maker: french press"", ""Hangers"", ""Hot water kettle"", ""Stainless steel gas stove"", ""Elevator"", ""Hot water"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Books and reading material"", ""Cooking basics"", ""Oven"", ""Wifi"", ""Smoking allowed""]","$1,622.00",100,365,100.0,100.0,1125.0,1125.0,100.0,1125.0,,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0,
41486593,https://www.airbnb.com/rooms/41486593,20241230155630,2024-12-31,city scrape,Charming Flat & Historical & Terrace @Galata,"The flat is just next to Galata Tower. Beyoğlu region and Galata was rebuilt after a big fire in 1870. We would define this date as the rebirth of Beyoğlu and say that many important historical buildings in Beyoğlu emerged after this date. The building was completed between 1875 and 1885 by French architects in a European style. You will feel 150 years of history at the Galata Tower Street, the foot of the tower.","Location is very central in Beyoğlu/Taksim.<br />You can walk to<br />✔️Galata Tower in 30 seconds.<br />✔️Istiklal Street in 3 min<br />✔️Taksim Square 10 min<br />✔️Bosphorus 8 min.<br />✔️Karaköy 7 min.<br /><br />✔️ Very close to Şişhane Metro Station, historical tram, taxi, bus etc.<br /><br />✔️You can easily walk to all shopping centers and historical buildings in Beyoğlu.",https://a0.muscache.com/pictures/b0ce170b-2044-48ad-8dcd-6367bc16a2bc.jpg,269174334,https://www.airbnb.com/users/show/269174334,Merve-Ahmet,2019-06-17,"İstanbul, Turkey","*Corona Virus Update* Our historic apartments make comfortable, secure, medium term homes and we understand and respect the issues of social distancing and isolation. The cleaning we provide is suitably thorough and we’re taking extra care to disinfect frequently touched surfaces between reservations. Extra cleanings are an option during your stay. If you're looking for somewhere to hide away for a while, please don't hesitate to message us to discuss details and special rates for these difficult circumstances.

We are a Istanbulian couple. We are both engineers (Electric & Mechanical) and lindy hoppers ;)
We have a keen interest in travelling and exploring different cultures. Also we have Airbnb Houses which reflect our views and styles in the heart of Istanbul. 
We are looking forwards to meet you!",within an hour,100%,100%,,https://a0.muscache.com/im/pictures/user/55d58325-dd11-4fae-9466-e1c5dc5499c0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/55d58325-dd11-4fae-9466-e1c5dc5499c0.jpg?aki_policy=profile_x_medium,,29,103,"['email', 'phone']",t,t,"Beyoğlu, İstanbul, Turkey",Beyoglu,,41.02632,28.97484,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Shampoo"", ""City skyline view"", ""Iron"", ""Hair dryer"", ""First aid kit"", ""Smoke alarm"", ""Coffee"", ""Kitchen"", ""Bed linens"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Stove"", ""Mini fridge"", ""Hangers"", ""Hot water kettle"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Hot water"", ""TV"", ""Cooking basics"", ""Wifi"", ""Microwave""]","$3,490.00",3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,27,57,87,177,2024-12-31,120,1,0,2020-01-31,2024-11-17,4.75,4.68,4.7,4.82,4.89,4.91,4.64,34-2191,t,20,20,0,0,2.0
738830143433917432,https://www.airbnb.com/rooms/738830143433917432,20241230155630,2024-12-31,city scrape,şehir merkezi modern geniş daire,"If you stay in this centrally located place, you'll be close to everything as a family.",,https://a0.muscache.com/pictures/miso/Hosting-738830143433917432/original/8a052554-36b0-42c3-837f-4534564cd1a8.jpeg,469293242,https://www.airbnb.com/users/show/469293242,Yusuf Emre,2022-07-13,,,,,,f,https://a0.muscache.com/im/pictures/user/f275e61e-d180-4e5b-aa1f-85ca41d858fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f275e61e-d180-4e5b-aa1f-85ca41d858fb.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Besiktas,,41.044677139895086,29.008074067533016,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,3.0,"[""Freezer"", ""Central heating"", ""Shampoo"", ""Free street parking"", ""Paid street parking off premises"", ""Air conditioning"", ""Iron"", ""Hair dryer"", ""First aid kit"", ""Kitchen"", ""Gas stove"", ""Refrigerator"", ""Clothing storage: closet and wardrobe"", ""Dishes and silverware"", ""Dishwasher"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Mosquito net"", ""Washer"", ""Game console"", ""Hangers"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hot water"", ""Drying rack for clothing"", ""Dining table"", ""TV"", ""Cooking basics"", ""Oven"", ""Wifi"", ""Smoking allowed"", ""Board games""]","$2,000.00",100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,,t,28,58,88,363,2024-12-31,0,0,0,,,,,,,,,,,f,1,1,0,0,
832359026644051322,https://www.airbnb.com/rooms/832359026644051322,20241230155630,2024-12-31,city scrape,Stunning Apartment Near Metro,"-Only 10 Min (950 mt) to Osmanbey Metro Station<br />-Brand new, flawless infrastructure<br />- Very high (3mt+) ceiling<br />-Spacious and bright bathroom<br />-A lot of sunshine from both sides of the flat<br />-Located on the entrance floor, super easy access (no stairs!)<br />-It is not on a hilly street, plenty of cafes, restaurants and groceries around<br />- Parking 30 meters away<br />- Fully equipped (Air Condition, WiFi, TV, dishwasher, automated coffee machine, hair dryer, iron, vacuum cleaner, kitchenware and much more)",,https://a0.muscache.com/pictures/miso/Hosting-832359026644051322/original/7038f906-7168-4bac-8e8d-7346d2e8f11e.jpeg,421594433,https://www.airbnb.com/users/show/421594433,Ali,2021-09-04,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/14b56d76-5409-464a-8fca-2630c512f0af.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/14b56d76-5409-464a-8fca-2630c512f0af.jpeg?aki_policy=profile_x_medium,,26,26,"['email', 'phone']",t,t,,Sisli,,41.045861652663646,28.981275813298343,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""High chair"", ""Pack \u2019n play/Travel crib"", ""Lockbox"", ""Room-darkening shades"", ""Central heating"", ""Iron"", ""Window AC unit"", ""Pets allowed"", ""Hair dryer"", ""First aid kit"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Paid parking on premises"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Long term stays allowed"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Washer"", ""Coffee maker"", ""Hangers"", ""Dedicated workspace"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Hot water"", ""Crib"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""TV"", ""Cooking basics"", ""Wifi""]","$1,537.00",2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,21,51,81,351,2024-12-31,45,29,4,2023-04-18,2024-12-24,4.6,4.64,4.82,4.78,4.91,4.4,4.58,34-0176,t,25,25,0,0,2.16
790665950522944948,https://www.airbnb.com/rooms/790665950522944948,20241230155630,2024-12-31,city scrape,Şehrin Kusursuz Evi,"-You can enjoy entertainment and a simple relaxed stay with your whole family in this wonderful and spacious place <br />- Location Center is in the location, Esenyurtt. Close to metrobus and all other social areas<br />- Supermarket, Tekel Bayii Bay-Mrs Hairdresser and Restaurant-Café are available within the site.<br />- There is also a pool in the summer<br />- Private security is also available on the site",,https://a0.muscache.com/pictures/b0b187af-9dee-4f8b-b457-60a23fd10c74.jpg,480718647,https://www.airbnb.com/users/show/480718647,Ozan,2022-09-23,"Kamiloba, Turkey","Merhaba Ben Ozan, 

Bir yazılım şirketinde çalışıyorum. Ayrıca airbnb ile uğraşıyorum. Villamıza hepinizi beklerim. :) Sorularınız için yazabilirsiniz. 

Hello I'm Ozan,

I am working in a software company. I also deal with airbnb. We are looking at our villas. :) You can write for your questions.",within a few hours,100%,0%,f,https://a0.muscache.com/im/pictures/user/255ff5ef-92bc-4a33-827e-e15e6bc2573d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/255ff5ef-92bc-4a33-827e-e15e6bc2573d.jpg?aki_policy=profile_x_medium,,7,8,"['email', 'phone']",t,t,,Esenyurt,,41.02917,28.65979,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Pocket wifi"", ""Freezer"", ""Room-darkening shades"", ""Central heating"", ""Shampoo"", ""Free street parking"", ""City skyline view"", ""Clothing storage: walk-in closet"", ""Pets allowed"", ""Hair dryer"", ""Coffee"", ""Kitchen"", ""Bed linens"", ""Body soap"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning products"", ""Essentials"", ""Shared outdoor pool - available seasonally, open specific hours, heated, infinity, olympic-sized"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Trash compactor"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Hangers"", ""Hot water kettle"", ""Coffee maker: french press"", ""Dedicated workspace"", ""Elevator"", ""Shower gel"", ""Hot water"", ""Luggage dropoff allowed"", ""Private entrance"", ""Dining table"", ""Stainless steel oven"", ""TV"", ""Cooking basics"", ""Di\u011fer stainless steel induction stove"", ""Wifi"", ""Smoking allowed"", ""Shared backyard \u2013 Not fully fenced""]",$850.00,100,365,100.0,100.0,365.0,365.0,100.0,365.0,,t,30,60,90,365,2024-12-31,2,0,0,2023-03-24,2023-04-01,2.5,2.5,2.0,3.0,4.0,2.5,2.5,,f,7,6,1,0,0.09
588830128775519446,https://www.airbnb.com/rooms/588830128775519446,20241230155630,2024-12-31,city scrape,"5 Mins to Galata Tower,3 BR,High Ceiling,No Stairs","It is designed by an architect.<br />90 years old, high ceiling building with renovated kitchen and bathroom.<br />1st floor, you dont need to climb stairs.<br /><br />Its only 5mins to Galata Tower and there is ONLY 1 building between metro and the house.There are lots of cafes, restaurants and pubs around. <br /><br />55 inch Samsung TV with Netflix<br />Clean towels for the customers<br />Kitchen is full of equipment",,https://a0.muscache.com/pictures/1fbb3f8d-5e07-4175-983d-37b538d79fb3.jpg,47037383,https://www.airbnb.com/users/show/47037383,Aygen,2015-10-20,"Istanbul, Turkey","Hello! Welcome to my profile :) I'm an architect and i work as a freelance. I will be ready to help you whenever you need. I know arranging a vacation is very hard because of the limited time, budget etc... And i know how important it is. So if you don't want to ruin your vacation because of a bad host or because of a bad located house, thanks for choosing my place :) ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/fe614b6e-e137-412a-a54e-6f06e6a9cdf1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fe614b6e-e137-412a-a54e-6f06e6a9cdf1.jpg?aki_policy=profile_x_medium,Karaköy,4,7,"['email', 'phone']",t,t,,Beyoglu,,41.0279,28.97195,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Room-darkening shades"", ""Fast wifi \u2013 51 Mbps"", ""Central heating"", ""Shampoo"", ""55 inch HDTV with Netflix, standard cable"", ""Paid parking off premises"", ""Single level home"", ""Iron"", ""Window AC unit"", ""Hair dryer"", ""Coffee"", ""Kitchen"", ""Bed linens"", ""Body soap"", ""Refrigerator"", ""Wine glasses"", ""Dishes and silverware"", ""Dishwasher"", ""Self check-in"", ""Long term stays allowed"", ""Cleaning products"", ""Essentials"", ""Smart lock"", ""Ceiling fan"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Hangers"", ""Hot water kettle"", ""Stainless steel gas stove"", ""Dedicated workspace"", ""Window guards"", ""Shower gel"", ""Conditioner"", ""Hot water"", ""Drying rack for clothing"", ""Dining table"", ""Books and reading material"", ""Cooking basics"", ""Smoking allowed"", ""Laundromat nearby"", ""Microwave""]","$3,971.00",1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0,,t,23,52,82,246,2024-12-31,102,36,1,2022-03-27,2024-12-17,4.84,4.77,4.8,4.96,4.99,4.8,4.73,Exempt,t,4,4,0,0,3.03
1273342673513346365,https://www.airbnb.com/rooms/1273342673513346365,20241230155630,2024-12-31,city scrape,Müstakil WC/Banyolu Özel Oda.,"Ataşehir is centrally located in the area where health institutions and universities are busy. Private Room with Catı floor WC/Bathroom. Newly renovated. Shared Kitchen.  A place to find the amenities in your home. Private Room is arranged to accommodate a2 people. L Sofa can be used as a double bed. 3 Door Wardrobe. Mini Refrigerator  Smart TV. Kettle,Iron/Ironing Board, Hair Dryer, Quilt,Pillow, Hand/Bath Towel, Linen, Pike etc for your needs.",,https://a0.muscache.com/pictures/hosting/Hosting-1273342673513346365/original/b06562e8-be84-40d7-8841-95c864afb8e8.jpeg,335850558,https://www.airbnb.com/users/show/335850558,Halil,2020-02-13,"İstanbul, Turkey",Kendi evinizde hissetmeniz için çabalıyoruz...,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/08cd5af2-a375-4d73-a919-d71e9945e5d6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/08cd5af2-a375-4d73-a919-d71e9945e5d6.jpg?aki_policy=profile_x_medium,,3,9,"['email', 'phone']",t,t,,Atasehir,,40.9844414,29.1075153,Private room in rental unit,Private room,2,1.0,1 shared bath,0.0,2.0,"[""Heating"", ""Room-darkening shades"", ""Paid parking off premises"", ""Shampoo"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Body soap"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Stove"", ""Ethernet connection"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Dedicated workspace"", ""Shower gel"", ""Clothing storage"", ""Hot water"", ""Dining table"", ""TV"", ""Cooking basics"", ""Wifi"", ""Dryer""]",$762.00,100,730,100.0,100.0,730.0,730.0,100.0,730.0,,t,30,60,90,365,2024-12-31,0,0,0,,,,,,,,,,,t,3,1,2,0,
881670252778755294,https://www.airbnb.com/rooms/881670252778755294,20241230155630,2024-12-31,city scrape,"Terrace Sea View Above Room+ {1000 MBPS} 32""TV","Unique space overlooking the Golden Horn! <br /><br />☞ Walk Score 60 (Walk to cafes, dining, shopping etc.)<br />☞ 1000 Mbps wifi + workspace<br />☞ AC + radiant heating <br />☞ Kettle<br />☞ 32” HD TV<br />☞ Outdoor dining area <br />☞ Free street parking<br />☞ Upright piano<br /><br />20 mins → DT İstanbul<br />30 mins → Istanbul Airport ✈",,https://a0.muscache.com/pictures/miso/Hosting-881670252778755294/original/5668923e-05ba-444e-b4dc-e425e9c3ca3e.jpeg,494607606,https://www.airbnb.com/users/show/494607606,Chris,2023-01-06,"İstanbul, Turkey","I love hosting Airbnb. 
That means you'll get high service and local recommendations!

Feel free to book or message me first.
I'm happy to answer any specific questions in advance.

By day, I am a small business owner.
By night, I enjoy reading and preparing extravagant meals.

I am a well traveled Airbnb guest. I know what a host should do to create a comfortable guest experience. My favorite countries visited: Austria, Thailand, China & Mexico.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/1e335684-3efc-47dd-9990-3f6810831e02.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1e335684-3efc-47dd-9990-3f6810831e02.jpg?aki_policy=profile_x_medium,,21,22,"['email', 'phone']",t,t,,Fatih,,41.0382118,28.9416062,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Lockbox"", ""Room-darkening shades"", ""Shampoo"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Hair dryer"", ""Exterior security cameras on property"", ""Smoke alarm"", ""First aid kit"", ""Coffee"", ""Bed linens"", ""Body soap"", ""Self check-in"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Free parking on premises"", ""Piano"", ""Mini fridge"", ""Hangers"", ""Hot water kettle"", ""Fire extinguisher"", ""Shower gel"", ""Clothing storage"", ""Conditioner"", ""Hot water"", ""Crib"", ""Private entrance"", ""Luggage dropoff allowed"", ""Cleaning available during stay"", ""TV"", ""Wifi"", ""Laundromat nearby""]",$846.00,1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,16,41,71,346,2024-12-31,93,78,8,2023-10-04,2024-12-22,4.91,4.9,4.92,4.97,4.95,4.74,4.78,Exempt,t,21,18,3,0,6.13
912447138500996108,https://www.airbnb.com/rooms/912447138500996108,20241230155630,2024-12-31,city scrape,güvenilir. sakin. full artı full,"If you stay in this centrally located place, you'll be close to everything as a family.",,https://a0.muscache.com/pictures/96eb05db-9944-496d-9218-79eb0a21743c.jpg,518940726,https://www.airbnb.com/users/show/518940726,Murat Can,2023-06-08,,,,,,f,https://a0.muscache.com/im/pictures/user/User-518940726/original/a13435c8-8322-4022-8f4b-f10f64ed7d40.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-518940726/original/a13435c8-8322-4022-8f4b-f10f64ed7d40.jpeg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Eyup,,41.0701754,28.937477,Entire rental unit,Entire home/apt,7,1.0,1 bath,2.0,9.0,"[""Heating"", ""Pocket wifi"", ""Baby safety gates"", ""Freezer"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Outdoor shower"", ""Shampoo"", ""Air conditioning"", ""Iron"", ""Baking sheet"", ""Pets allowed"", ""Hair dryer"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Coffee"", ""Blender"", ""Kitchen"", ""Bed linens"", ""Body soap"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Cleaning products"", ""Essentials"", ""Extra pillows and blankets"", ""Mosquito net"", ""Washer"", ""Free parking on premises"", ""Coffee maker"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Dedicated workspace"", ""Fire extinguisher"", ""Shower gel"", ""Clothing storage"", ""Conditioner"", ""Hot water"", ""Drying rack for clothing"", ""Dining table"", ""TV"", ""Books and reading material"", ""Cooking basics"", ""Wifi"", ""Oven"", ""Dryer"", ""Smoking allowed""]","$6,205.00",100,365,100.0,100.0,1125.0,1125.0,100.0,1125.0,,,30,60,90,365,2024-12-31,0,0,0,,,,,,,,,,,f,1,1,0,0,
