listing_id,id,date,reviewer_id,reviewer_name,comments
804113931197614174,1007773538854901883,2023-10-22,10731835,Tomas,Marvelous......
720867916237978201,917233335535368331,2023-06-19,481368435,Alina,"It's a cozy ground-floor apartment with a local vibe to it located in a quiet part of Kadikoy. You will find quite a few vibrant murals and nice cafes around.<br/>We got very useful advice about the area and Istanbul in general from İnanç, who is the best host I've ever met! We would definitely book the place again for our next visit and highly recommend it to others:)"
53142024,1117248644868828576,2024-03-21,565855355,Sertaç,güzeldi
551396997136493394,577243924337843507,2022-03-07,145894668,Jasper,Decent listing. Great communication by host. Very busy transient building.
541629,289042011,2018-07-11,42132508,Amer,Positives: the location was good. <br/>The neighborhood is authentic and close to main attractions and metro station. <br/>Négative: there was no air conditioning even though that was listed as one of the features. The house is different  from the pictures and not very clean. <br/>The house had a lot of potential but needs improvement.
2211837,906365409789025285,2023-06-04,7611521,Mateusz,"The apartment has everything you need to live. It's located near Taksim square, public transport is just around the corner, so getting to anywhere in Istanbul is quite easy.<br/>The hosts are very nice and helpful.<br/>I recommend this place as well as the hosts."
673673885972082250,757753156094128820,2022-11-11,23647705,Adam,"I was due to stay in Toygar's place for four nights but sadly my trip got cut short after an unexpected injury meant I had to go home early.<br/>Toygar was very understanding and actually refunded my stay when he didn't have to, which was very kind. <br/>The flat itself was lovely. It had great views from the front room, it was clean, very big and had lots of space. It was also in a perfect spot only five minutes walk from the boats into Istanbul. Thanks a lot for everything Toygar!"
765522531632128721,967165672737474364,2023-08-27,38282746,KhaDija,"pour commencer l'accueil était très chaleureuc EBRU et son mari étaient la malgré notre arrivée tardive 2h du matin en plus elle était en contact en permenence avec nous depuis l'aéroport via la loocalisatuon du GPS et parfois elle parlait au chauffeur du taxi pour lui indiquer la position.l'appartement est agréable et ressemble parfaitement aux photos ( très bien équipé TV smart avec Netflix unn agréable salon lits confortables climatisation ... )nous n'avons même pas eu besoin de l'appeler durant les 23 jours de notre séjour du 04 au 27 aout que tellement tout était parfais, quartier très animé beaucoup de restaurant et café de toutes categories, à 5 mn à pied des transports en commun: metro (qui mène au marmaray) pour aller aux endroits les plus loins du côté européen, bateau pour aller à éminonu kabatas Besiktas karaokoy uskudar et les îles de princesses et même à Kassim basha et sultan eyub. sécurité parfaite en rentrait tard parfois à 4h du matin sans problème à recommander"
54251931,893249031841030187,2023-05-17,483174249,Maria Del Pilar,"Ha sido un placer alojarme en casa de Valeriya y Serdar.<br/>Serdar estuvo en comunicación constante y nos esperó a nuestra llegada y nos ayudó a instalarnos. Siempre estuvo atento a cada necesidad y muy rápido en responder nuestras preguntas.<br/>Su lugar está convenientemente y céntricamente ubicado. Caminamos hasta la Torre Gálata. Puede encontrar mercados al otro lado de la calle ya poca distancia a pie de restaurantes. Cuenta con las necesidades básicas para su estadía. Han pensado en cada detalle: planchas, sombrillas, etc. Sentimos que la relación precio vs. y el servicio prestado superó las expectativas.<br/>Serdar es el caballero más amable y dulce, nos sentimos afortunados de haberlo conocido, nos sentimos protegidos y cuidados. Llegó a esperar con nosotros para tomar el taxi al aeropuerto. También fue nuestro traductor e incluso negoció con el taxista (lol). Solo tenemos cosas buenas que decir sobre nuestra estancia.<br/>Mucha suerte a Serdar y Valeriya."
647524449563855416,1270117094745241996,2024-10-18,416991933,Federico,"This place is located in Beyoğlu, one of the most active areas in Istanbul . Within a couple blocks you can find bars, restaurants and stores. The flat is very big, having four private rooms. Moving around is pretty easy because it has a metro station just around the corner. It’s perfect for doing tourism in the city because of all the transportation facilities it has. I’m definitely recommending and coming back to it."
39775635,709561732,2020-11-17,211611719,Kassem,"We stayed 5 nights, first of all Mr Kemal is very helpful and professional and always on the line with quick response, it's a lovely spacious apartment, well equipped, very clean, comfortable, charming view to Galata tower, we like the design, quiet street, perfect location, next to Galata tower, 2 minutes from the metro station (Şişhane) , 3 minutes from the tramway station (karaköy)  2 minutes from the famous Istiklal street, 5 minutes from the ferry boat station (karaköy),lots of coffee shops, restaurants and touristic shops around the area with historical vibes, the best location ever in Galata area, heart of history, I highly recommend it."
3093528,641785270119394835,2022-06-04,339705578,Sabah,"This apartment was clean, spacious for a family of 4, had all the essentials you'd need and in very good location, walking distance to most touristic locations. Ozan is very friendly and responsive to all queries. I would recommend this place."
889905713822258503,951218781973862284,2023-08-05,321575586,Ashleigh,Amazing stay! Great location. Clean and had everything we needed. Little balcony was great to sit on. Emre was helpful and easy to communicate with. Thank you!
1088167575307262716,1220146644366710577,2024-08-10,547813137,Lou,Logement est impeccable ! <br/>Murat est arrangeant est très réactif ! <br/>Je recommande ce logement !
12688050,669780459,2020-10-01,18139606,Sarah,"Great location, really friendly welcome, very quiet in the apartment- a great night sleep!"
53624611,1179553360884973517,2024-06-15,36560672,Kashif,"Naomi and Ozgur were super hosts.  They always responded to any messages promptly and were always just worried that we were taken care of.  The home is an amazing place which is from 1890 that has been restored.  The location was in the Galata area, so in the middle of everything.  The house is on top of a steep hill, so for elderly or people with heart conditions you will need to plan on taking the Tunnel up as there is no way for you to walk it.  The hosts and the place were just amazing.  I needed a fan and they dropped one of the next day.  Internet is about 50Mbps down and 15Mbps up for people who work remotely.  Overall a great experience and will most definitely recommend this place."
876588992580104512,1132965289667369956,2024-04-12,131828909,Liliana,"These hosts are really nice and responsive, and the room is great! The location is a little inconvenient— a bit far from public transit— so as a woman traveling alone, I’m not sure if I’d book on this neighborhood again but that has nothing to do with the hosts and the room. Both were excellent"
845892859537488793,1191873490536295747,2024-07-02,352128504,Rasim,"It was a great stay, the owner was very interested, he helped us a lot. everything was perfect, the apartment was as seen in the photos, there were very clean and well-thought-out details, I felt like I was at home. I highly recommend this apartment"
955955713181490070,1275200416082799976,2024-10-25,394353577,Engin,Ev konum olarak merkezi bir lokalizasyonda.Temizlik konusunda gayet iyiydi.Fatih bey gayet yardımsever çözüm odaklı.Biz 2 kişi konakladık.4-5 kişi konaklayabilir.<br/>Dezavantaj olarak apartmanda asansör mevcut değil ama zaten üçüncü kat.Gece biraz ses olabiliyor.Bizi çok rahatsız etmedi
52647271,678717291258566450,2022-07-25,468825928,Farid,"Amazing people and place, thank you for everything❤️"
898357282469689591,1223781225246911513,2024-08-15,139524476,Daria,"Stunning apartment located in vibrant area well connected to any possible transportation, and very responsible host!"
31845058,1183957825722195835,2024-06-21,583963589,FatmagÜL,Teşekkürler!
726091936652120666,1000611428333348978,2023-10-12,449766878,Sergiy,"Great apartment, a lot of free space. Highly recommend!"
37422687,1304935170261503057,2024-12-05,405461090,Polina,Great apartment with awesome terrace that provides you wonderful view over the Bosphorus. Good location in the Moda which is our favourite place in Istanbul. The apartment has enough space to work and rest and amenities for cooking. The host was friendly and proactive.
723347726857979697,1194778177317346975,2024-07-06,235266917,Jadranka,"Good location, Merve was always available and ready to help, but for the money I expected more cleanliness and quality.<br/>There is a moldy smell, but this could be due to the weather and pressure in the area as well as unventilated bathroom. Opening the toilet window during nights helps but needs better maintenance and cleaning for sure."
5650577,113488159,2016-11-13,22990258,George,"Πολυ ομορφο, ζεστο και καλοδιατηρημενο διαμερισμα εφοδιασμενο με ολες τις παροχες για μια ομορφη διαμονη. Σε τοποθεσια που συνδυάζει την ηρεμια της γειτονιας, και ταυτοχρονα διπλα στο αστικο κεντρο της περιοχης.<br/><br/>Very beautiful, warm and well-preserved apartment equipped with all facilities for a nice stay. In a location that combines the tranquillity of the neighbourhood, and at the same time next to the urban centre of the region.<br/>"
51449118,551918968069465123,2022-01-31,40811189,Aleksandra,"Amazing apartment in the great location. Very clean, looks exactly like the pictures. Walkable distance to touristic attractions. Lots of charming restaurants and shops around. Hosts are very welcoming, easy check in and check out process, always very helpful and ready to answer any questions. Highly recommend!"
731758433189915880,1023699251134706832,2023-11-13,92868381,Dan Cristian,"I would recommend some repairs and a full clean-up before renting this place again. The flat is ok and it has good taste, no comment there, but it's 'trashy'. If you are into cracked floors, washing your white socks every 5 minutes, dirt almost everywhere and spider webs, then this is your place. I'm sure it has its vibe and some people are ok with it, but pictures don't reflect the reality. Please repair the broken shower, invest more in the mattress and the quality of the pillows and sheets, fix the lightbulbs, get a better router (with more power and coverage) (couldn't use wi-fi from the bedroom). I get the idea of an open shower in the bedroom (which works mostly for couples), but venting the steam in the entire house is not ok. I had high hopes from the pictures but was a bit disappointed when I got there, and that's because the please looks cool and has great potential, don't let it go to waste. Location is also great, though I wouldn't recommend it for women traveling alone."
